iter	Logloss
0	0.6710885543
1	0.6517102689
2	0.6386815901
3	0.6233819836
4	0.6096337475
5	0.5973497523
6	0.5867822698
7	0.5771231434
8	0.5678363096
9	0.56255266
10	0.5556796708
11	0.5519900343
12	0.5462347246
13	0.5411532005
14	0.5366727992
15	0.5345449669
16	0.530555495
17	0.5272059727
18	0.5242231963
19	0.5215704878
20	0.5204150289
21	0.5181184716
22	0.5161206381
23	0.5143710872
24	0.5126022071
25	0.5110616124
26	0.509623829
27	0.5091202991
28	0.5078862464
29	0.5067781095
30	0.5058547484
31	0.5050698363
32	0.5035695064
33	0.5028902072
34	0.5023260433
35	0.50185367
36	0.5013370714
37	0.5008038056
38	0.5006360838
39	0.5004876847
40	0.5003430733
41	0.5002232908
42	0.5000997509
43	0.4999913609
44	0.4998740624
45	0.4997675287
46	0.4994445632
47	0.4993769418
48	0.4993150748
49	0.499077912
50	0.4988142503
51	0.4987511103
52	0.4986884366
53	0.498634479
54	0.4984488912
55	0.4975887902
56	0.4973507912
57	0.4972109305
58	0.4971889816
59	0.4964518212
60	0.4962633207
61	0.4956228656
62	0.4955394363
63	0.4949568835
64	0.4949195631
65	0.4948941092
66	0.4948632834
67	0.4943440136
68	0.4943321893
69	0.49430925
70	0.4942063587
71	0.4941064628
72	0.4940914013
73	0.494011894
74	0.4939775547
75	0.4939524303
76	0.4938965499
77	0.4938579009
78	0.4938430574
79	0.4938295235
80	0.4937532443
81	0.4937432954
82	0.4937294197
83	0.4936690607
84	0.4936656078
85	0.4932477114
86	0.4932406192
87	0.4932208221
88	0.4932079303
89	0.4932065533
90	0.4930996175
91	0.4930952318
92	0.4930480668
93	0.4929563965
94	0.4929314121
95	0.4928716807
96	0.4928468772
97	0.4928317316
98	0.492494545
99	0.4924173534
