iter	Passed	Remaining
0	0	92
1	1	77
2	2	70
3	2	70
4	3	68
5	4	68
6	4	64
7	5	62
8	5	59
9	6	58
10	7	56
11	7	55
12	8	54
13	8	53
14	9	51
15	9	50
16	10	49
17	10	48
18	11	47
19	11	47
20	12	45
21	12	45
22	13	44
23	13	43
24	14	42
25	14	42
26	15	41
27	16	41
28	16	40
29	17	40
30	17	39
31	18	38
32	18	38
33	19	37
34	19	36
35	20	35
36	20	35
37	21	35
38	22	34
39	22	34
40	23	33
41	24	33
42	24	33
43	25	32
44	26	31
45	26	31
46	27	31
47	28	30
48	29	30
49	29	29
50	30	29
51	31	28
52	31	28
53	32	27
54	33	27
55	33	26
56	34	25
57	34	25
58	35	24
59	35	23
60	36	23
61	36	22
62	37	22
63	38	21
64	38	20
65	39	20
66	39	19
67	40	18
68	40	18
69	41	17
70	42	17
71	43	16
72	43	16
73	44	15
74	45	15
75	45	14
76	46	13
77	47	13
78	47	12
79	48	12
80	49	11
81	49	10
82	50	10
83	51	9
84	52	9
85	52	8
86	53	7
87	54	7
88	54	6
89	55	6
90	56	5
91	56	4
92	57	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	62	0
